"Element;Wavelength;Ionization;ColorHex"
"H;656.272;I;#8E44AD"
"H;486.133;I;#9B59B6"
"H;434.047;I;#5B2C6F"
"He;587.562;I;#2E86C1"
"He;667.815;I;#3498DB"
"He;501.568;I;#5DADE2"
"N;337.13;I;#1F618D"
"N;357.69;I;#2874A6"
"N;380.49;I;#17A589"
"N;746.831;I;#1ABC9C"
"N;821.634;I;#48C9B0"
"O;777.194;I;#1E8449"
"O;844.636;I;#27AE60"
"O;844.636;I;#F4D03F"
"F;844.636;I;#F1C40F"
"F;844.636;I;#D4AC0D"
"F;844.636;I;#F39C12"
"Ar;844.636;I;#E67E22"
"Ar;844.636;I;#D35400"
"Ar;844.636;I;#DC7633"
"Ar;844.636;I;#BA4A00"
"Ar;844.636;I;#E74C3C"
"Ar;844.636;I;#C0392B"
"Cl;844.636;I;#A93226"
"Cl;844.636;I;#922B21"
"Cl;844.636;I;#EC7063"
"Si;844.636;I;#E91E63"
"Si;844.636;I;#AD1457"
"Si;844.636;I;#880E4F"
"Al;844.636;I;#34495E"
"Al;844.636;I;#2C3E50"
"Al;844.636;I;#5D6D7E"
"Al;844.636;I;#AAB7B8"
"Cu;844.636;I;#7F8C8D"
"Cu;844.636;I;#D35400"
"Cu;844.636;I;#16A085"
"Fe;844.636;I;#16A085"
"Fe;844.636;I;#16A085"
"Fe;844.636;I;#16A085"
